county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Gwinnett,132 Lawrenceville K,State House,105,Democrat,Farooq Mughal,266,885,75,0
Gwinnett,136 Hog Mountain C,State House,105,Democrat,Farooq Mughal,383,1188,135,0
Gwinnett,003 Dacula,State House,105,Democrat,Farooq Mughal,413,1585,120,0
Gwinnett,137 Rockycreek B,State House,105,Democrat,Farooq Mughal,386,1244,73,0
Gwinnett,031 Hog Mountain D,State House,105,Democrat,Farooq Mughal,232,717,85,1
Gwinnett,154 Pucketts D,State House,105,Democrat,Farooq Mughal,238,802,72,0
Gwinnett,027 Hog Mountain B,State House,105,Democrat,Farooq Mughal,342,1202,138,0
Gwinnett,152 Rockycreek C,State House,105,Democrat,Farooq Mughal,394,1390,109,1
Gwinnett,085 Lawrenceville H,State House,105,Democrat,Farooq Mughal,129,479,50,0
Gwinnett,067 Pucketts E,State House,105,Democrat,Farooq Mughal,402,1408,115,0
Gwinnett,027 Hog Mountain B,State House,105,Republican,Sandy Donatucci,431,1326,82,0
Gwinnett,136 Hog Mountain C,State House,105,Republican,Sandy Donatucci,427,1301,61,0
Gwinnett,152 Rockycreek C,State House,105,Republican,Sandy Donatucci,416,1491,70,0
Gwinnett,154 Pucketts D,State House,105,Republican,Sandy Donatucci,288,1134,56,0
Gwinnett,137 Rockycreek B,State House,105,Republican,Sandy Donatucci,461,1321,79,1
Gwinnett,085 Lawrenceville H,State House,105,Republican,Sandy Donatucci,146,465,31,0
Gwinnett,003 Dacula,State House,105,Republican,Sandy Donatucci,359,1208,46,1
Gwinnett,031 Hog Mountain D,State House,105,Republican,Sandy Donatucci,284,880,57,1
Gwinnett,067 Pucketts E,State House,105,Republican,Sandy Donatucci,333,1190,67,0
Gwinnett,132 Lawrenceville K,State House,105,Republican,Sandy Donatucci,273,796,57,0
